World,Ranking Global,ExpPoints,Name,Level,Vocation,Achievement,Guild,Quota,Highscore Global,Highscore Vocation,Achievement Global,Achievement Vocation,PVP,Guild Exp,Guild Rank
36,1,17454362690,Binance,381,warrior,461,Damai,0,1,1,2,2,0,12028180,16
37,2,15698088786,Odon,371,warrior,468,Top Gun,0,1,1,6,5,0,7741777,15
34,3,14667317972,Olivia,365,warrior,383, ,0,1,1,15,10,0,0,0
02,4,14147333236,Aveee,362,warrior,416,Gothsterz,0,1,1,20,13,0,859851517,1
34,5,13485055802,Chicia,358,wizard,464,Icecreams,0,2,1,4,3,0,1893012,27
35,6,11921545136,Jco,347,warrior,439,New Star,0,1,1,6,4,0,544357335,1
35,7,11218364681,Ac,342,warrior,497, ,0,2,2,2,2,0,0,0
32,8,10164515411,Smokewar,333,warrior,354,Solo Army,0,1,1,85,57,0,338461959,2
15,9,10015583523,Dubaii,332,wizard,411,Deadlysinz,0,1,1,32,11,0,36420969,17
23,10,9296915439,Gothsterz,326,warrior,582,Lunaticos,0,1,1,1,1,0,268123295,2
11,11,9218209081,Jay,325,warrior,329,Holy Nitro,0,1,1,0,0,0,35234136,18
01,12,9212275462,Queza,325,warrior,385,Suicide Sq,0,1,1,52,31,0,0,0
01,13,9212002474,King,325,wizard,285,The Best,0,2,1,0,0,0,0,0
36,14,8998521357,Wolfman,323,warrior,382,Princess,0,2,2,22,12,0,111321691,2
02,15,8907149275,Avee,323,warrior,353,Gothsterz,0,2,2,65,43,0,859851517,1
36,16,8869354491,Bt,322,warrior,453,Princess,0,3,3,3,3,0,111321691,2
02,17,8749587908,Pattriick,321,warrior,476,Dream Team,0,3,3,8,6,0,186655044,4
35,18,8523211923,Hefestuus,319,wizard,252,Guardioes,0,3,1,0,65,0,3750748,18
33,19,8474292812,Emizuno,319,wizard,428,E Class,0,1,1,21,9,0,38334335,6
09,20,8419089476,Maddina,318,warrior,327,Edc,0,1,1,93,49,0,1683232,79
23,21,8257243927,Tje,316,warrior,384,Handler0ne,0,2,2,36,27,0,2743451,62
37,22,8038637101,Xenojiva,314,warrior,476,H Y D R A,0,2,2,4,3,0,81994266,3
23,23,7756998753,Omvito,312,warrior,413,Big Family,0,3,3,16,10,0,4117480,48
11,24,7701384217,Lietuwa,311,warrior,433,L T U,10,2,2,15,9,45,225017120,2
07,25,7625772145,Wulan,310,warrior,418,Life Alone,0,1,1,10,7,0,192421753,2
11,26,7376104399,Yumi,308,warrior,383,Holy Nitro,0,3,3,61,35,0,35234136,18
01,27,7251558393,Goldza,306,wizard,313,Suicide Sq,0,3,2,0,73,0,0,0
15,28,7229976552,Floryna,306,warrior,425,Hell Gate,0,2,1,18,13,0,14353668,31
02,29,7083521941,Avex,305,warrior,458,Gothsterz,0,4,4,10,7,0,859851517,1
15,30,6934022535,Captnfz,303,warrior,414,Y O U,20,3,2,28,20,2,396899359,3
