World,Ranking Global,ExpPoints,Name,Level,Vocation,Achievement,Guild,Quota,Highscore Global,Highscore Vocation,Achievement Global,Achievement Vocation,PVP,Guild Exp,Guild Rank,In Arena,PVP Premium,PVP Free,Insurance 50%,Insurance 80%,Insurance 100%,ExpPoints Formatted
36,1,17454362690,Binance,381,warrior,461,Damai,0,1,1,2,2,0,12028180,16,349.087.254,872.718.134,1.745.436.269,872.718.134,349.087.254,0,17.454.362.690
37,2,15698088786,Odon,371,warrior,468,Top Gun,0,1,1,6,5,0,7741777,15,313.961.776,784.904.439,1.569.808.879,784.904.439,313.961.776,0,15.698.088.786
34,3,14667317972,Olivia,365,warrior,383, ,0,1,1,15,10,0,0,0,293.346.359,733.365.899,1.466.731.797,733.365.899,293.346.359,0,14.667.317.972
02,4,14147333236,Aveee,362,warrior,416,Gothsterz,0,1,1,20,13,0,859851517,1,282.946.665,707.366.662,1.414.733.324,707.366.662,282.946.665,0,14.147.333.236
34,5,13485055802,Chicia,358,wizard,464,Icecreams,0,2,1,4,3,0,1893012,27,269.701.116,674.252.790,1.348.505.580,674.252.790,269.701.116,0,13.485.055.802
35,6,11921545136,Jco,347,warrior,439,New Star,0,1,1,6,4,0,544357335,1,238.430.903,596.077.257,1.192.154.514,596.077.257,238.430.903,0,11.921.545.136
35,7,11218364681,Ac,342,warrior,497, ,0,2,2,2,2,0,0,0,224.367.294,560.918.234,1.121.836.468,560.918.234,224.367.294,0,11.218.364.681
32,8,10164515411,Smokewar,333,warrior,354,Solo Army,0,1,1,85,57,0,338461959,2,203.290.308,508.225.771,1.016.451.541,508.225.771,203.290.308,0,10.164.515.411
15,9,10015583523,Dubaii,332,wizard,411,Deadlysinz,0,1,1,32,11,0,36420969,17,200.311.670,500.779.176,1.001.558.352,500.779.176,200.311.670,0,10.015.583.523
23,10,9296915439,Gothsterz,326,warrior,582,Lunaticos,0,1,1,1,1,0,268123295,2,185.938.309,464.845.772,929.691.544,464.845.772,185.938.309,0,9.296.915.439
11,11,9218209081,Jay,325,warrior,329,Holy Nitro,0,1,1,0,0,0,35234136,18,184.364.182,460.910.454,921.820.908,460.910.454,184.364.182,0,9.218.209.081
01,12,9212275462,Queza,325,warrior,385,Suicide Sq,0,1,1,52,31,0,0,0,184.245.509,460.613.773,921.227.546,460.613.773,184.245.509,0,9.212.275.462
01,13,9212002474,King,325,wizard,285,The Best,0,2,1,0,0,0,0,0,184.240.049,460.600.124,921.200.247,460.600.124,184.240.049,0,9.212.002.474
36,14,8998521357,Wolfman,323,warrior,382,Princess,0,2,2,22,12,0,111321691,2,179.970.427,449.926.068,899.852.136,449.926.068,179.970.427,0,8.998.521.357
02,15,8907149275,Avee,323,warrior,353,Gothsterz,0,2,2,65,43,0,859851517,1,178.142.986,445.357.464,890.714.928,445.357.464,178.142.986,0,8.907.149.275
