World,Ranking Global,ExpPoints,Name,Level,Vocation,Achievement,Guild,Quota,Highscore Global,Highscore Vocation,Achievement Global,Achievement Vocation,PVP,Guild Exp,Guild Rank,In Arena,PVP Premium,PVP Free,Insurance 50%,Insurance 80%,Insurance 100%,Date Today,Exp Points,Exp to Up,% to Up,ExpPoints Difference
36,1,16454540230,Binance,381,warrior,461,Damai, ,1,1,2,2,No rank,12028180,16,349090805,872727012,1745454023,872727012,349090805,0,2024-01-19,17454540230,14377080,7.8,0
37,2,15698088786,Odon,371,warrior,468,Top Gun, ,1,1,6,5,No rank,7741777,15,313961776,784904439,1569808879,784904439,313961776,0,2024-01-19,15698088786,5602924,3.3,0
34,3,14667317972,Olivia,365,warrior,383, , ,1,1,15,10,No rank,0,0,293346359,733365899,1466731797,733365899,293346359,0,2024-01-19,14667317972,43609178,26.9,0
2,4,14147333236,Aveee,362,warrior,416,Gothsterz, ,1,1,20,13,No rank,859851517,1,282946665,707366662,1414733324,707366662,282946665,0,2024-01-19,14147333236,85247004,53.9,0
34,5,13485055802,Chicia,358,wizard,464,Icecreams, ,2,1,4,3,No rank,1893012,27,269701116,674252790,1348505580,674252790,269701116,0,2024-01-19,13485055802,127990858,83.7,0
35,6,11921560552,Jco,347,warrior,439,New Star, ,1,1,6,4,No rank,544357335,1,238431211,596078028,1192156055,596078028,238431211,0,2024-01-19,11921560552,91846638,65.9,0
35,7,11218364681,Ac,342,warrior,497, , ,2,2,2,2,No rank,0,0,224367294,560918234,1121836468,560918234,224367294,0,2024-01-19,11218364681,116519659,87.4,0
32,8,10164515411,Smokewar,333,warrior,354,Solo Army, ,1,1,85,57,No rank,338461959,2,203290308,508225771,1016451541,508225771,203290308,0,2024-01-19,10164515411,21933499,17.8,0
15,9,10015583523,Dubaii,332,wizard,411,Deadlysinz, ,1,1,32,11,No rank,36420969,17,200311670,500779176,1001558352,500779176,200311670,0,2024-01-19,10015583523,48878617,40.1,0
23,10,9296915439,Gothsterz,326,warrior,582,Lunaticos, ,1,1,1,1,No rank,268123295,2,185938309,464845772,929691544,464845772,185938309,0,2024-01-19,9296915439,58472821,50.6,0
11,11,9218209081,Jay,325,warrior,329,Holy Nitro, ,1,1,No rank,No rank,No rank,35234136,18,184364182,460910454,921820908,460910454,184364182,0,2024-01-19,9218209081,22746669,19.9,0
1,12,9214113394,Queza,325,warrior,385,Suicide Sq, ,1,1,52,31,No rank,0,0,184282268,460705670,921411339,460705670,184282268,0,2024-01-19,9214113394,26842356,23.5,0
1,13,9212002474,King,325,wizard,285,The Best, ,2,1,No rank,No rank,No rank,0,0,184240049,460600124,921200247,460600124,184240049,0,2024-01-19,9212002474,28953276,25.3,0
36,14,8999183194,Wolfman,323,warrior,382,Princess, ,2,2,22,12,No rank,111321691,2,179983664,449959160,899918319,449959160,179983664,0,2024-01-19,8999183194,16060116,14.3,0
2,15,8907149275,Avee,323,warrior,353,Gothsterz, ,2,2,65,43,No rank,859851517,1,178142986,445357464,890714928,445357464,178142986,0,2024-01-19,8907149275,108094035,96.2,0
36,16,8869354492,Bt,322,warrior,453,Princess, ,3,3,3,3,No rank,111321691,2,177387090,443467725,886935449,443467725,177387090,0,2024-01-19,8869354492,34595948,31.1,0
2,17,8749651539,Pattriick,321,warrior,476,Dream Team, ,3,3,8,6,No rank,186655044,4,174993031,437482577,874965154,437482577,174993031,0,2024-01-19,8749651539,44039671,39.9,0
35,18,8523211923,Hefestuus,319,wizard,252,Guardioes, ,3,1,No rank,65,No rank,3750748,18,170464238,426160596,852321192,426160596,170464238,0,2024-01-19,8523211923,53036087,49.0,0
33,19,8474292816,Emizuno,319,wizard,428,E Class, ,1,1,21,9,No rank,38334335,6,169485856,423714641,847429282,423714641,169485856,0,2024-01-19,8474292816,101955194,94.2,0
9,20,8419089476,Maddina,318,warrior,327,Edc, ,1,1,93,49,No rank,1683232,79,168381790,420954474,841908948,420954474,168381790,0,2024-01-19,8419089476,49961784,46.6,0
23,21,8257243927,Tje,316,warrior,384,Handler0ne, ,2,2,36,27,No rank,2743451,62,165144879,412862196,825724393,412862196,165144879,0,2024-01-19,8257243927,431733,0.4,0
37,22,8038637101,Xenojiva,314,warrior,476,H Y D R A, ,2,2,4,3,No rank,81994266,3,160772742,401931855,803863710,401931855,160772742,0,2024-01-19,8038637101,11644659,11.3,0
23,23,7756998753,Omvito,312,warrior,413,Big Family, ,3,3,16,10,No rank,4117480,48,155139975,387849938,775699875,387849938,155139975,0,2024-01-19,7756998753,89820487,88.7,0
11,24,7701384217,Lietuwa,311,warrior,433,L T U,10,2,2,15,9,45,225017120,2,154027684,385069211,770138422,385069211,154027684,0,2024-01-19,7701384217,45162393,45.0,0
7,25,7625946410,Wulan,310,warrior,418,Life Alone, ,1,1,10,7,No rank,192421753,2,152518928,381297320,762594641,381297320,152518928,0,2024-01-19,7625946410,21291690,21.4,0
11,26,7376104399,Yumi,308,warrior,383,Holy Nitro, ,3,3,62,35,No rank,35234136,18,147522088,368805220,737610440,368805220,147522088,0,2024-01-19,7376104399,75384261,77.4,0
1,27,7252816193,Goldza,306,wizard,313,Suicide Sq, ,3,2,No rank,73,No rank,0,0,145056324,362640810,725281619,362640810,145056324,0,2024-01-19,7252816193,6705367,7.0,0
15,28,7229976552,Floryna,306,warrior,425,Hell Gate, ,2,1,19,13,No rank,14353668,31,144599531,361498828,722997655,361498828,144599531,0,2024-01-19,7229976552,29545008,30.9,0
2,29,7083521941,Avex,305,warrior,458,Gothsterz, ,4,4,10,7,No rank,859851517,1,141670439,354176097,708352194,354176097,141670439,0,2024-01-19,7083521941,81419109,86.1,0
15,30,6934039295,Captnfz,303,warrior,414,Y O U,20,3,2,30,20,2,396899359,3,138680786,346701965,693403930,346701965,138680786,0,2024-01-19,6934039295,44516315,48.0,0
15,31,6795269663,Powerwizz,301,wizard,306,Deadlysinz, ,4,2,No rank,91,No rank,36420969,17,135905393,339763483,679526966,339763483,135905393,0,2024-01-19,6795269663,560847,0.6,0
36,32,6708433547,Xtroyz,301,warrior,333,Damai, ,4,4,64,46,No rank,12028180,16,134168671,335421677,670843355,335421677,134168671,0,2024-01-19,6708433547,87396963,96.1,0
33,33,6687083528,Newlife,300,wizard,376,Texas, ,2,2,44,17,No rank,548214731,1,133741671,334354176,668708353,334354176,133741671,0,2024-01-19,6687083528,18741972,20.8,0
36,34,6683065383,Wolfmann,300,warrior,418,Princess, ,5,5,11,8,No rank,111321691,2,133661308,334153269,668306538,334153269,133661308,0,2024-01-19,6683065383,22760117,25.3,0
7,35,6588720200,Nightmare,299,warrior,321,Th3 Army, ,2,2,75,47,No rank,7985724,41,131774404,329436010,658872020,329436010,131774404,0,2024-01-19,6588720200,27997310,31.4,0
23,36,6587459553,Batamkingz,299,warrior,382,Enjoy, ,4,4,37,28,No rank,194635315,3,131749191,329372978,658745955,329372978,131749191,0,2024-01-19,6587459553,29257957,32.8,0
2,37,6533903418,Destroyers,299,warrior,351,Dream Team, ,5,5,67,45,No rank,186655044,4,130678068,326695171,653390342,326695171,130678068,0,2024-01-19,6533903418,82814092,92.9,0
33,38,6497755748,Siuoxing,298,wizard,352,8 Dewa,0,3,3,53,21,14,156051651,2,129955115,324887787,649775575,324887787,129955115,0,2024-01-19,6497755748,30744812,34.9,0
37,39,6358838394,Mahadewa,297,wizard,382,B L U E, ,3,1,29,12,No rank,243342,95,127176768,317941920,635883839,317941920,127176768,0,2024-01-19,6358838394,82330296,94.3,0
1,40,6331771865,Ibiz,296,warrior,331,Suicide Sq, ,4,2,No rank,79,No rank,0,0,126635437,316588593,633177186,316588593,126635437,0,2024-01-19,6331771865,22944095,26.5,0
33,41,6286347705,Agods,296,warrior,564,Texas, ,4,1,1,1,No rank,548214731,1,125726954,314317385,628634770,314317385,125726954,0,2024-01-19,6286347705,68368255,79.1,0
35,42,6267054704,Disney,295,warrior,358,New Star, ,4,3,28,14,No rank,544357335,1,125341094,313352735,626705470,313352735,125341094,0,2024-01-19,6267054704,2081746,2.4,0
32,43,6186093552,Elsmokey,295,warrior,415,Solo Army, ,2,2,25,16,No rank,338461959,2,123721871,309304678,618609355,309304678,123721871,0,2024-01-19,6186093552,83042898,97.0,0
36,44,6183824829,Yj,294,warrior,397,Damai, ,6,6,19,11,No rank,12028180,16,123676497,309191241,618382483,309191241,123676497,0,2024-01-19,6183824829,599431,0.7,0
34,45,6110613939,Donvito,294,warrior,314,Kgb, ,3,2,50,36,No rank,715785,48,122212279,305530697,611061394,305530697,122212279,0,2024-01-19,6110613939,73810321,87.1,0
23,46,6020900609,Zhun,293,wizard,340,Lunaticos, ,5,1,88,31,No rank,268123295,2,120418012,301045030,602090061,301045030,120418012,0,2024-01-19,6020900609,79672901,95.0,0
36,47,5936521907,Btt,292,wizard,403,Princess, ,7,1,16,7,No rank,111321691,2,118730438,296826095,593652191,296826095,118730438,0,2024-01-19,5936521907,81056433,97.7,0
33,48,5851976455,Beethoven,290,wizard,439,Texas, ,5,4,15,5,No rank,548214731,1,117039529,292598823,585197646,292598823,117039529,0,2024-01-19,5851976455,2154945,2.7,0
34,49,5821990794,Thuanvisad,290,warrior,297, , ,4,3,59,42,No rank,0,0,116439816,291099540,582199079,291099540,116439816,0,2024-01-19,5821990794,32140606,39.5,0
2,50,5785940224,Dreikmito,290,warrior,456,Brazil Top, ,6,6,12,8,No rank,277979883,3,115718804,289297011,578594022,289297011,115718804,0,2024-01-19,5785940224,68191176,83.9,0
36,51,5723638797,Blvcklist,289,wizard,406,Princess, ,8,2,14,6,No rank,111321691,2,114472776,286181940,572363880,286181940,114472776,0,2024-01-19,5723638797,50029213,62.2,0
37,52,5691992332,Barracuda,288,warrior,345,Beast Mode, ,4,3,51,32,No rank,193647090,1,113839847,284599617,569199233,284599617,113839847,0,2024-01-19,5691992332,2044628,2.6,0
33,53,5657508833,Heaven,288,warrior,327,Texas, ,6,2,83,52,No rank,548214731,1,113150177,282875442,565750883,282875442,113150177,0,2024-01-19,5657508833,36528127,45.9,0
33,54,5585087282,Ngui,287,wizard,452, ,15,7,5,7,1,16,0,0,111701746,279254364,558508728,279254364,111701746,0,2024-01-19,5585087282,30145208,38.3,0
7,55,5560245496,Wixvstar,287,warrior,335,D3stroy3rz, ,3,3,53,32,No rank,47950965,18,111204910,278012275,556024550,278012275,111204910,0,2024-01-19,5560245496,54986994,69.8,0
33,56,5531796278,Moonlife,286,wizard,415,Venice, ,8,6,24,10,No rank,4161950,37,110635926,276589814,553179628,276589814,110635926,0,2024-01-19,5531796278,5452582,7.0,0
34,57,5528731834,Ery,286,warrior,477, , ,5,4,1,1,No rank,0,0,110574637,276436592,552873183,276436592,110574637,0,2024-01-19,5528731834,8517026,10.9,0
15,58,5525426655,Aladin,286,warrior,421,Deadlysinz, ,5,3,21,14,No rank,36420969,17,110508533,276271333,552542666,276271333,110508533,0,2024-01-19,5525426655,11822205,15.2,0
35,59,5524758673,Mrevill,286,warrior,374,New Star, ,5,4,20,10,No rank,544357335,1,110495173,276237934,552475867,276237934,110495173,0,2024-01-19,5524758673,12490187,16.0,0
37,60,5511424604,Fi,286,warrior,268,Beast Mode, ,5,4,No rank,No rank,No rank,193647090,1,110228492,275571230,551142460,275571230,110228492,0,2024-01-19,5511424604,25824256,33.1,0
1,61,5489419246,Draxton,286,warrior,427,W I N E, ,5,3,23,12,No rank,0,0,109788385,274470962,548941925,274470962,109788385,0,2024-01-19,5489419246,47829614,61.3,0
